--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"25 Nov, 2021",282,222,78.72,85.11,7.12,1.58,0.35
"24 Nov, 2021",207,133,64.25,87.92,3.2,1.35,0.18
"23 Nov, 2021",276,186,67.39,88.41,2.11,1.34,0.25
"22 Nov, 2021",232,146,62.93,90.95,2.64,1.78,0.26
"21 Nov, 2021",268,173,64.55,82.46,2.05,1.62,0.28
"20 Nov, 2021",249,143,57.43,79.52,2.41,1.47,0.21
"19 Nov, 2021",199,118,59.30,77.39,0,1.44,0.17
"18 Nov, 2021",56,47,83.93,94.64,8.81,1.28,0.06
"17 Nov, 2021",567,199,35.10,59.26,0,1.26,0.25
"16 Nov, 2021",585,218,37.26,60.68,1.98,1.24,0.27
"15 Nov, 2021",637,253,39.72,58.71,0,1.15,0.29
"14 Nov, 2021",580,229,39.48,58.97,1.9,0.83,0.19
"13 Nov, 2021",664,248,37.35,56.02,0,0.93,0.23
"12 Nov, 2021",556,190,34.17,54.68,2.03,1.37,0.26
"11 Nov, 2021",899,287,31.92,48.94,3.08,0.73,0.21
"10 Nov, 2021",629,236,37.52,63.59,0,1.10,0.26
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"United Kingdom",Tablets,2191,273,12.46,,0.00,0.55,0.15
"United Kingdom",Desktop,3378,1988,58.85,,0.00,0.69,1.38
"United Kingdom",Mobile,4307,2600,60.37,,0.92,1.78,4.62
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Singapore,15213,5066,33.30,55.20,0.36,0.98,4.99
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",1448,377,26.04,60.50,1.03,0.80,0.3
"8 Nov, 2021",1542,447,28.99,61.35,3.23,0.38,0.17
"7 Nov, 2021",744,206,27.69,53.49,0,0.58,0.12
"6 Nov, 2021",416,145,34.86,63.70,0,0.90,0.13
"5 Nov, 2021",313,101,32.27,63.90,3.61,1.39,0.14
"30 Nov, 2021",218,142,65.14,79.82,0,0.92,0.13
"29 Nov, 2021",362,194,53.59,64.92,0,1.08,0.21
"28 Nov, 2021",388,223,57.47,62.11,2.21,0.67,0.15
"27 Nov, 2021",166,133,80.12,92.77,0,1.88,0.25
"26 Nov, 2021",237,154,64.98,73.00,0,1.69,0.26
"25 Nov, 2021",361,237,65.65,79.78,0,0.72,0.17
"24 Nov, 2021",168,136,80.95,88.69,0,2.28,0.31
"23 Nov, 2021",730,199,27.26,30.96,1.49,1.26,0.25
"22 Nov, 2021",291,188,64.60,82.13,1.54,1.12,0.21
"21 Nov, 2021",315,158,50.16,80.00,2.72,1.08,0.17
"20 Nov, 2021",128,108,84.38,98.44,5.94,2.31,0.25
"19 Nov, 2021",266,188,70.68,80.45,0,0.85,0.16
"18 Nov, 2021",207,55,26.57,30.92,0,0.91,0.05
"17 Nov, 2021",851,233,27.38,47.12,1.71,0.86,0.2
"16 Nov, 2021",844,177,20.97,36.37,0,1.02,0.18
"15 Nov, 2021",298,125,41.95,73.49,13.7,1.68,0.21
"14 Nov, 2021",574,147,25.61,46.52,0,1.16,0.17
"13 Nov, 2021",726,144,19.83,38.71,0,0.83,0.12
"12 Nov, 2021",1066,248,23.26,42.12,2.01,1.57,0.39
"11 Nov, 2021",870,209,24.02,50.00,0,0.48,0.1
"10 Nov, 2021",1684,392,23.28,48.63,0,0.48,0.19
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Singapore,Tablets,67,41,61.19,,0.00,0.24,0.01
Singapore,Desktop,11205,2705,24.14,,0.00,0.25,0.68
Singapore,Mobile,3941,2320,58.87,,0.78,1.85,4.30
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Canada,7263,3072,42.30,63.05,0.46,1.45,4.46
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",383,156,40.73,72.32,0.64,0.90,0.14
"8 Nov, 2021",366,171,46.72,76.50,1.17,0.82,0.14
"7 Nov, 2021",432,153,35.42,60.42,2.33,1.11,0.17
"6 Nov, 2021",194,100,51.55,80.93,2.3,1.20,0.12
"5 Nov, 2021",382,118,30.89,52.88,0,0.93,0.11
"30 Nov, 2021",125,91,72.80,83.20,4,1.98,0.18
"29 Nov, 2021",156,85,54.49,64.74,0,1.41,0.12
"28 Nov, 2021",226,119,52.65,59.29,0,2.44,0.29
"27 Nov, 2021",138,94,68.12,78.26,0,2.45,0.23
"26 Nov, 2021",81,57,70.37,86.42,0,4.04,0.23
"25 Nov, 2021",211,98,46.45,54.03,2.06,1.63,0.16
"24 Nov, 2021",253,117,46.25,51.38,3.58,2.14,0.25
"23 Nov, 2021",232,117,50.43,56.90,0,1.62,0.19
"22 Nov, 2021",278,138,49.64,57.91,3.02,1.59,0.22
"21 Nov, 2021",211,114,54.03,58.77,0,1.58,0.18
"20 Nov, 2021",284,154,54.23,63.73,7.61,1.49,0.23
"19 Nov, 2021",156,93,59.62,71.79,4.24,1.51,0.14
"18 Nov, 2021",20,9,45.00,45.00,0,2.22,0.02
"17 Nov, 2021",579,171,29.53,54.58,2.56,1.17,0.2
"16 Nov, 2021",431,127,29.47,46.40,0,1.57,0.2
"15 Nov, 2021",252,117,46.43,77.38,3.83,1.11,0.13
"14 Nov, 2021",454,113,24.89,49.34,0,1.77,0.2
"13 Nov, 2021",213,95,44.60,74.18,0,1.47,0.14
"12 Nov, 2021",274,111,40.51,70.80,0,2.07,0.23
"11 Nov, 2021",662,240,36.25,63.29,0,0.58,0.14
"10 Nov, 2021",270,114,42.22,80.00,4.01,0.88,0.1
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Canada,"Connected TV",4,2,50.00,,0.00,5.00,0.01
Canada,Tablets,193,117,60.62,,0.85,0.68,0.08
Canada,Desktop,4843,1572,32.46,,0.06,0.63,0.99
